,R,P,V,I,D,T,pol,dush
399,гонорара,гонораре,гонорар,гонорар,гонорару,гонораром,М,0.0
400,гордости,гордости,гордость,гордость,гордости,гордостью,Ж,0.0
401,горя,горе,горе,горе,горю,горем,ср,0.0
402,горечи,горечи,горечь,горечь,горечи,горечью,Ж,0.0
403,горизонта,горизонте,горизонт,горизонт,горизонту,горизонтом,М,0.0
404,горла,горле,горло,горло,горлу,горлом,ср,0.0
405,города,городе,город,город,городу,городом,М,0.0
406,городка,городке,городок,городок,городку,городком,М,0.0
407,гороскопа,гороскопе,гороскоп,гороскоп,гороскопу,гороскопом,М,0.0
408,горшка,горшке,горшок,горшок,горшку,горшком,М,0.0
409,госпиталя,госпитале,госпиталь,госпиталь,госпиталю,госпиталем,М,0.0
410,господина,господине,господина,господин,господину,господином,М,1.0
